,time,memory
brackets,4.809295295000084,78.24853
BroadleafCommerce,10.425543967999829,97.456716
camel,3.0652419549999195,30.609554
corefx-v-6.2,5.7984587920000195,49.767164
django,3.4400897179998537,38.365892
elasticsearch,8.345337592000078,76.113532
fabric8,2.8362146839999696,27.148827
godot,102.62982310799998,432.256867
Mybatis3,1.1233240879998903,14.568091
mysql-server,150.97393374500007,400.954108
node,33.2207593170001,200.35568
nova,29.787921003999827,170.6553
npm,2.575541994999867,44.392614
pandas,19.80080378799994,81.102152
pytorch,48.822591300999875,446.203499
rails,7.1485003090001555,80.516552
rust,42.229987416000085,456.605107
security,5.944120224000017,78.533296
spring-boot,18.192869883999947,254.73974
tomcat,10.724264053999832,96.461968
vscode,51.90827252300005,621.031028
wp-calypso,24.81038235799997,410.712694
