,Wilcoxon,a12
brackets,0.0,0.32755684525162937
BroadleafCommerce,0.0,0.36124695877565993
camel,1.28493907920275e-266,0.48864608618195454
corefx-v-6.2,0.0,0.4193440889183575
django,3.4580518881095734e-55,0.49603829485978623
elasticsearch,0.0,0.2629437389009537
fabric8,1.0538746092756646e-84,0.4942299160402413
godot,0.0,0.3258708912451882
vscode,1.993012236832568e-22,0.41225307521820365
pytorch,0.0,0.49870152422315256
spring-boot,0.0,0.27468284101527274
node,0.0,0.4925584526669784
nova,0.0,0.3443249920470547
tomcat,5.030772091558326e-06,0.4993073600479439
pandas,1.7695979537007814e-273,0.49309438496645136
security,0.0,0.4318524163908075
rails,0.0,0.413780615615672
rust,0.0,0.14727973013497409
wp-calypso,0.0,0.492066169259229
npm,5.118983101239318e-37,0.491857688223422
Mybatis3,2.9199059939046e-38,0.466007596070367
tensorflow,0.0,0.4055244949311796
