,human labeling,human-effort0.9,human-effortt0.8,human-effort0.7,human-effort0.6,human-effort0.5,human-effort0.4,human-effort0.3,Eco_HumLa,human-effort0.2,human-effort0.1,waiting-time
Bracket,0.62952 ,0.62876 ,0.62947 ,0.63098 ,0.63102 ,0.63181 ,0.63197 ,0.63400 ,0.62410 ,0.63208 ,0.63157 ,0.62897 
Broadleaf,0.64074 ,0.63522 ,0.62979 ,0.62424 ,0.61686 ,0.60991 ,0.60199 ,0.59326 ,0.59980 ,0.58203 ,0.56859 ,0.55491 
Camel,0.68137 ,0.68337 ,0.68203 ,0.68021 ,0.67811 ,0.67671 ,0.67612 ,0.67618 ,0.66860 ,0.67411 ,0.67051 ,0.66531 
Fabric8,0.64133 ,0.64181 ,0.64086 ,0.64013 ,0.63870 ,0.63649 ,0.63554 ,0.63356 ,0.63410 ,0.63277 ,0.62948 ,0.62676 
jGroup,0.58071 ,0.57880 ,0.57732 ,0.57409 ,0.56999 ,0.56459 ,0.55975 ,0.55492 ,0.56300 ,0.55154 ,0.54322 ,0.53385 
Nova,0.68571 ,0.68517 ,0.68459 ,0.67944 ,0.67348 ,0.66821 ,0.66706 ,0.66078 ,0.66440 ,0.65374 ,0.64530 ,0.63746 
Tomcat,0.58448 ,0.57909 ,0.57215 ,0.56535 ,0.55432 ,0.54906 ,0.53845 ,0.52894 ,0.53750 ,0.51199 ,0.50101 ,0.48674 
Corefx,0.62606 ,0.62586 ,0.62518 ,0.62253 ,0.62431 ,0.62552 ,0.62304 ,0.62134 ,0.61650 ,0.62109 ,0.61650 ,0.61352 
Django,0.69824 ,0.69712 ,0.69590 ,0.69421 ,0.69153 ,0.69075 ,0.68948 ,0.68763 ,0.67820 ,0.68475 ,0.67856 ,0.66488 
Rails,0.60058 ,0.59830 ,0.59213 ,0.58365 ,0.57167 ,0.55021 ,0.53258 ,0.51545 ,0.53660 ,0.50284 ,0.48386 ,0.46446 
Rust,0.44741 ,0.44143 ,0.43624 ,0.43397 ,0.43056 ,0.42672 ,0.42312 ,0.42254 ,0.42250 ,0.41921 ,0.41377 ,0.41508 
Tensorflow,0.69500 ,0.69184 ,0.68880 ,0.68435 ,0.68042 ,0.67785 ,0.67112 ,0.66277 ,0.68030 ,0.65824 ,0.64748 ,0.63914 
VScode,0.46524 ,0.46608 ,0.46873 ,0.47582 ,0.48081 ,0.48416 ,0.48861 ,0.49108 ,0.49440 ,0.50427 ,0.51566 ,0.50823 
wp-Calypso,0.62534 ,0.62472 ,0.62297 ,0.62153 ,0.62036 ,0.61619 ,0.61524 ,0.60973 ,0.60970 ,0.60466 ,0.59751 ,0.58408 
